label,best_total,time_to_best_s,status,peak_mb,n_improvements
gk1_np1_nb1_adv,15,0.0,OK,17,3604
gk2_np1_nb1_adv,15,0.0,OK,17,3593
gk3_np1_nb1_adv,15,0.0,OK,17,3577
gk1_np3_nb3_adv,15,0.0,OK,18,2773
gk2_np3_nb3_adv,15,0.0,OK,18,2758
gk1_np1_nb3_adv,15,0.0,OK,18,2793
gk1_np3_nb1_adv,15,0.0,OK,17,3612
gk1_np5_nb5_adv,15,0.0,OK,19,2670
gk2_np3_nb3_fk3,15,0.0,OK,1,3
gk2_np3_nb3_fk4,15,0.0,OK,2,5
gk0_np3_nb3_adv,15,0.0,OK,516,440189
gk0_np1_nb3_adv,15,0.0,OK,521,443195
gk0_np1_nb1_fk2,15,0.0,OK,1,7
gk0_np1_nb1_fk4,15,0.0,OK,2,4
gk0_np5_nb5_adv,15,0.0,OK,394,261915
gk0_np1_nb1_fk1,15,0.0,OK,2,19
gk0_np1_nb1_adv,15,0.0,OK,17,1684
gk0_np3_nb3_fk2,15,0.0,OK,725,549313
gk0_np3_nb3_fk3,15,0.0,OK,535,406747
gk0_np3_nb1_adv,15,0.0,OK,17,3667
gk0_np1_nb1_fk3,16,0.0,OK,2,3
gk0_np1_nb1_fk5,16,0.0,OK,1,7
